timestamp,age,gender,race_ethnicity,please_explain_your_answer_to_the_question_above_why_or_why_not_would_you_be_interested_in_taking_another_computing_class,how_did_you_hear_about_county_college_of_morris_ccm_web_site,how_did_you_hear_about_county_college_of_morris_social_media,how_did_you_hear_about_county_college_of_morris_community_event,how_did_you_hear_about_county_college_of_morris_family_member_or_friend,how_did_you_hear_about_county_college_of_morris_current_ccm_student,how_did_you_hear_about_county_college_of_morris_ccm_alumni,how_did_you_hear_about_county_college_of_morris_high_school_teacher,how_did_you_hear_about_county_college_of_morris_high_school_counselor,how_did_you_hear_about_county_college_of_morris_in_app_advertisement,how_did_you_hear_about_county_college_of_morris_employer,how_did_you_hear_about_county_college_of_morris_billboard,how_did_you_hear_about_county_college_of_morris_television,how_did_you_hear_about_county_college_of_morris_radio,how_did_you_hear_about_county_college_of_morris_other,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_to_get_a_job_in_the_computing_field,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_transfer_to_bachelors_level_program,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_transfer_credits_back_to_hs_degree_sharetime_challenger_program,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_career_advancement,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_career_change,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_professional_development,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_job_displacement,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_relocation,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_to_keep_current_in_tech_industry,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_it_industry_certifications,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_financial,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_personal_enrichment
2024/09/10 3:08:12 PM AST,19-20,Man,Hispanic or Latino,,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True
2024/09/10 3:08:18 PM AST,18 and younger,Man,Hispanic or Latino,it would not really benefit me to take another while there are other classes that i need to take to finish my degree,True,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/10 3:08:20 PM AST,18 and younger,Man,Hispanic or Latino;White/Caucasian,,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,True
2024/09/10 3:08:38 PM AST,25-34,Man,Hispanic or Latino,,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True
2024/09/10 3:08:43 PM AST,25-34,Man,Asian,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
2024/09/10 3:08:50 PM AST,18 and younger,Man,Black/African American,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,True,True
2024/09/10 3:09:36 PM AST,19-20,Man,White/Caucasian,It is beneficial to everyday life and good skill to have,False,False,False,True,True,True,True,True,False,False,False,False,False,Don't recall,,,,,,,,,,,,
2024/09/10 3:09:48 PM AST,18 and younger,Man,White/Caucasian,,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True
2024/09/10 3:11:07 PM AST,35-64,Man,Black/African American,Strengthen my skills,True,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/10 3:15:10 PM AST,21-24,Man,Black/African American,,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
2024/09/10 5:17:34 PM AST,18 and younger,Man,Choose not to reply,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,True,True,True
2024/09/10 5:24:45 PM AST,19-20,Woman,Asian;Native Hawaiian/Other Pacific Islander,,Don't recall,Don't recall,Don't recall,True,False,Don't recall,False,True,False,False,False,False,False,Don't recall,True,True,False,False,False,False,False,False,False,False,False,True
2024/09/10 7:17:19 PM AST,25-34,Man,Hispanic or Latino,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
2024/09/10 7:17:55 PM AST,25-34,Man,White/Caucasian,,True,True,True,True,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,True,True,False,True,True,False,True
2024/09/10 7:18:04 PM AST,18 and younger,Man,White/Caucasian,I am only taking classes at ccm that will give me credit at the University of Miami. I'm taking these classes as STEM credits because I need a STEM credits at miami.,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/10 7:18:59 PM AST,19-20,Woman,Hispanic or Latino,Computing is a great class just not something I would like to peruse as a career.,True,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/10 7:20:01 PM AST,19-20,Man,White/Caucasian,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
2024/09/10 7:20:25 PM AST,25-34,Man,Hispanic or Latino,"It’s something I’m not very familiar with, but I would definitely want to learn more ",True,False,False,True,True,False,True,True,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/10 7:20:36 PM AST,21-24,Man,Hispanic or Latino,,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,True,True
2024/09/10 7:24:54 PM AST,19-20,Man,Asian,,True,False,True,True,True,False,True,True,False,False,False,False,False,Don't recall,True,True,False,True,False,True,True,False,True,True,False,False
2024/09/10 7:37:14 PM AST,18 and younger,Man,Asian,,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False
2024/09/10 7:38:34 PM AST,19-20,Man,Hispanic or Latino,,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False
2024/09/10 7:38:39 PM AST,19-20,Man,Hispanic or Latino;White/Caucasian,,False,False,False,False,True,Don't recall,True,True,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,True,True
2024/09/10 7:38:52 PM AST,25-34,Woman,Hispanic or Latino,,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,True,True,True,False,False,True,True,True,True
2024/09/10 7:39:17 PM AST,21-24,Man,Hispanic or Latino,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
2024/09/10 7:39:31 PM AST,19-20,Man,Hispanic or Latino;White/Caucasian,,True,False,False,True,False,True,False,True,False,False,True,False,False,Don't recall,True,True,False,True,True,True,True,True,True,True,True,True
2024/09/10 7:39:31 PM AST,19-20,Man,Black/African American,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
2024/09/10 7:39:36 PM AST,25-34,Man,Black/African American,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,True,False,True,True
2024/09/10 7:40:10 PM AST,18 and younger,Man,Hispanic or Latino,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,False,True,True
2024/09/10 9:30:31 PM AST,25-34,Man,Hispanic or Latino,,Don't recall,Don't recall,Don't recall,True,True,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,True,True,False,True,True,True,True,True,True,True,True,True
2024/09/11 9:23:56 AM AST,25-34,Woman,Asian,,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,True,True
2024/09/11 2:03:49 PM AST,19-20,Man,Hispanic or Latino,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True
2024/09/11 2:07:35 PM AST,18 and younger,Man,Hispanic or Latino,I think its extremely interested,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,
2024/09/11 2:08:02 PM AST,18 and younger,Woman,Hispanic or Latino,,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2024/09/11 2:08:24 PM AST,18 and younger,Woman,Hispanic or Latino,Because I need to take more classes.,False,False,False,False,False,False,True,True,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/11 2:08:25 PM AST,18 and younger,Man,Asian,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False,True
2024/09/11 2:08:51 PM AST,18 and younger,Man,White/Caucasian,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,True,False,True
2024/09/11 2:08:53 PM AST,18 and younger,Man,Black/African American,,True,False,False,True,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
2024/09/11 2:08:59 PM AST,18 and younger,Woman,Asian,,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,True
2024/09/11 2:09:08 PM AST,18 and younger,Man,White/Caucasian,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
2024/09/11 2:09:21 PM AST,18 and younger,Woman,White/Caucasian,,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False
2024/09/11 2:09:34 PM AST,18 and younger,Man,Hispanic or Latino,,True,False,False,True,True,False,True,True,False,False,False,False,False,Don't recall,True,True,True,True,False,True,False,False,True,True,True,False
2024/09/11 2:09:49 PM AST,18 and younger,Man,White/Caucasian,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2024/09/11 2:10:07 PM AST,18 and younger,Man,Hispanic or Latino,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False
2024/09/11 2:10:12 PM AST,18 and younger,Man,White/Caucasian,,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2024/09/11 2:10:13 PM AST,18 and younger,Man,White/Caucasian,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False
2024/09/11 2:10:39 PM AST,18 and younger,Man,White/Caucasian,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False
2024/09/11 2:11:50 PM AST,18 and younger,Man,American Indian/Native American/Alaska Native;White/Caucasian,,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False
2024/09/11 2:13:37 PM AST,18 and younger,Woman,Choose not to reply,,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,True,False,False
2024/09/11 2:17:55 PM AST,18 and younger,Man,Choose not to reply,,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False
2024/09/11 2:18:07 PM AST,18 and younger,Woman,Asian,,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False
2024/09/11 2:18:23 PM AST,18 and younger,Man,Black/African American,,False,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,True,True
2024/09/11 2:18:33 PM AST,21-24,Man,Hispanic or Latino;White/Caucasian,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
2024/09/11 2:18:39 PM AST,18 and younger,Man,White/Caucasian,I want to learn more about it,True,Don't recall,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/11 2:19:20 PM AST,19-20,Man,White/Caucasian,I don't really have a fundamental interest in these courses but the information in CMP 128 is kind of intriguing.,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/11 2:19:35 PM AST,18 and younger,Man,Hispanic or Latino;Black/African American,I probably wouldn’t take class if i didn’t need to but it seems interesting so far.,False,False,True,False,False,False,True,True,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/11 2:19:39 PM AST,18 and younger,Man,White/Caucasian,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
2024/09/11 2:19:57 PM AST,19-20,Man,Asian,,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True
2024/09/11 2:20:20 PM AST,18 and younger,Man,Black/African American,,True,False,False,True,Don't recall,False,True,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,True,True
2024/09/11 2:20:23 PM AST,21-24,Man,White/Caucasian,,True,False,False,True,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,True,False,True
2024/09/11 2:20:59 PM AST,19-20,Man,Hispanic or Latino;White/Caucasian,"Im personally someone who likes the more hands on approach of working with things, i feel like i have an easier understanding when i can get my hands on it",False,False,True,True,True,False,True,True,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/11 2:21:01 PM AST,18 and younger,Man,Hispanic or Latino;Asian,,True,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,False,False,True,True,True,True
2024/09/11 2:21:39 PM AST,18 and younger,Man,White/Caucasian,,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False
2024/09/11 2:24:14 PM AST,19-20,Man,White/Caucasian,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True
2024/09/11 4:09:16 PM AST,19-20,Man,Asian,,True,True,True,True,True,Don't recall,Don't recall,True,Don't recall,Don't recall,Don't recall,False,False,False,True,True,False,True,False,False,False,False,True,True,True,True
2024/09/11 4:59:16 PM AST,25-34,Man,White/Caucasian,also looking to hone my skills,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,
2024/09/11 6:42:01 PM AST,18 and younger,Man,White/Caucasian,I believe learning multiple programming languages would be very useful for my career.,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,True,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,,,,,,,,,,,,
2024/09/12 10:38:36 AM AST,18 and younger,Man,Black/African American,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False
2024/09/12 10:38:38 AM AST,21-24,Man,White/Caucasian,"I find it interesting however in wouldn't help me with my major
",False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,
2024/09/12 10:38:40 AM AST,19-20,Man,Hispanic or Latino,,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
2024/09/12 10:39:06 AM AST,25-34,Woman,Hispanic or Latino,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,True,False,True
2024/09/12 10:39:09 AM AST,18 and younger,Man,Hispanic or Latino;White/Caucasian,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,True
2024/09/12 10:39:12 AM AST,18 and younger,Man,American Indian/Native American/Alaska Native,I am interested because I am looking to major in Comp Sci or Cybersecurity when I go to college,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,True,True,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,,,,,,,,,,,,
2024/09/12 10:39:14 AM AST,19-20,Man,Hispanic or Latino;White/Caucasian,,False,False,True,True,False,True,False,False,False,False,True,False,False,Don't recall,True,True,False,False,False,False,False,False,False,False,False,True
2024/09/12 10:39:45 AM AST,19-20,Man,White/Caucasian,idk if i need em,True,False,False,False,False,False,True,True,True,False,False,False,False,False,,,,,,,,,,,,
2024/09/12 10:40:58 AM AST,19-20,Man,Choose not to reply,,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,True,True
2024/09/12 10:41:41 AM AST,18 and younger,Man,White/Caucasian,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2024/09/12 10:41:58 AM AST,18 and younger,Woman,Hispanic or Latino,,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,True,True
2024/09/12 10:42:36 AM AST,18 and younger,Man,Multi-Racial,I'm really interested in the topic,False,False,False,True,True,False,True,True,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/12 10:43:34 AM AST,19-20,Man,White/Caucasian,it doesn't seem at all fit for the career path that I want to pursue (firefighter),True,False,True,True,False,True,False,True,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/12 11:28:27 AM AST,19-20,Man,Choose not to reply,,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
2024/09/12 11:28:58 AM AST,19-20,Man,Hispanic or Latino,im extremely interested in programming in python but that love of programming isn't transferring well in to java programming ,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/12 11:29:09 AM AST,19-20,Man,White/Caucasian,,True,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False
2024/09/12 11:29:33 AM AST,18 and younger,Man,Hispanic or Latino,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2024/09/12 11:29:50 AM AST,18 and younger,Man,White/Caucasian,,False,False,False,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True
2024/09/12 11:30:23 AM AST,19-20,Woman,Hispanic or Latino;White/Caucasian,,True,True,False,True,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False
2024/09/12 11:30:59 AM AST,35-64,Man,Black/African American,,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True
2024/09/12 11:31:25 AM AST,19-20,Man,Black/African American,,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True
2024/09/12 11:32:36 AM AST,19-20,Man,White/Caucasian,"I am neutral with interest in computing classes because its just something I have a passion in, i'm not sure if I see a career path with it.",False,Don't recall,Don't recall,True,False,False,False,True,Don't recall,False,False,False,False,False,,,,,,,,,,,,
2024/09/12 11:34:40 AM AST,21-24,Man,Choose not to reply,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True
2024/09/12 12:35:40 PM AST,19-20,Man,Hispanic or Latino;White/Caucasian,,False,False,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True
2024/09/12 2:05:37 PM AST,35-64,Man,Hispanic or Latino,,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True
2024/09/12 2:06:08 PM AST,21-24,Man,White/Caucasian,,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,True,True,False,True
2024/09/12 2:08:08 PM AST,21-24,Woman,Hispanic or Latino,,True,True,False,True,False,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,True,True,True
2024/09/12 2:08:34 PM AST,25-34,Woman,Black/African American,,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,True,True,True
2024/09/12 2:09:05 PM AST,25-34,Man,White/Caucasian,,True,True,False,True,True,True,True,True,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True
2024/09/12 2:10:35 PM AST,19-20,Man,Asian,,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,False,True,True,True,True
2024/09/12 2:25:45 PM AST,21-24,Woman,White/Caucasian,,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,True,True,True,False,True,False,False,True,False
2024/09/12 3:53:36 PM AST,18 and younger,Woman,Asian,,True,False,True,True,False,False,True,True,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,True,True,False,False,False,False,False,False,False,False,True,True
2024/09/12 5:11:15 PM AST,18 and younger,Man,White/Caucasian,,True,False,False,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True
2024/09/12 6:28:39 PM AST,19-20,Woman,Asian,I find computer classes extremely interesting in my free time. I don't plan on pursuing a career in the computer industry.,True,True,True,True,True,True,True,False,False,False,True,False,False,False,,,,,,,,,,,,
2024/09/12 8:50:38 PM AST,18 and younger,Woman,Hispanic or Latino,The class I'm in now is challenging but fun. Learning more about programming and how computers process information made me develop an interest and led me to considering on changing my major. ,False,False,False,True,False,False,True,True,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/12 9:22:30 PM AST,21-24,Man,White/Caucasian,,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,True,True,True,False,True,False,False,False,False,False,False,False,True
2024/09/12 9:22:34 PM AST,35-64,Man,White/Caucasian,not something i am interested in,True,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/12 9:22:44 PM AST,21-24,Man,White/Caucasian,I was never really into computing.,False,False,False,True,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/12 9:23:18 PM AST,21-24,Woman,Hispanic or Latino,I am been learning new things ,False,False,False,True,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/12 9:23:56 PM AST,21-24,Prefer Not To Say,American Indian/Native American/Alaska Native,"it is far more technical than boring, i assumed the latter",False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/12 9:24:17 PM AST,21-24,Man,White/Caucasian,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,True,True
2024/09/12 9:24:28 PM AST,19-20,Man,Hispanic or Latino,because it incorporates in my business class,True,Don't recall,Don't recall,True,True,Don't recall,True,True,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,,,,,,,,,,,,
2024/09/13 8:24:16 AM AST,18 and younger,Man,Asian,,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,True,False,True,True,False,True
2024/09/13 8:24:30 AM AST,18 and younger,Man,White/Caucasian,The classes at CCM have been the most engaging and interesting classes I've taken. ,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/13 8:25:50 AM AST,18 and younger,Man,Asian,after seeing my dad working I had decided to be something in the computer field,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/13 8:26:08 AM AST,18 and younger,Man,American Indian/Native American/Alaska Native,,False,False,Don't recall,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False
2024/09/13 8:27:30 AM AST,18 and younger,Woman,Hispanic or Latino,,Don't recall,Don't recall,True,Don't recall,Don't recall,Don't recall,Don't recall,True,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,True,True,False,False,False,False,False,False,False,True,False,False
2024/09/13 8:27:37 AM AST,18 and younger,Woman,Hispanic or Latino,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,True,False,True,True
2024/09/13 8:27:54 AM AST,18 and younger,Man,White/Caucasian,,Don't recall,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True
2024/09/13 8:28:23 AM AST,18 and younger,Man,Hispanic or Latino;Black/African American;White/Caucasian,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
2024/09/13 8:28:33 AM AST,18 and younger,Man,Asian,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,False
